Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device,Plan Duration
Basic,11,2022-05-05,Germany,35,Female,Laptop,1 Month
Basic,10,2022-10-06,France,38,Male,Tablet,1 Month
Basic,12,2022-11-08,Brazil,49,Female,Laptop,1 Month
Standard,15,2022-11-27,Mexico,39,Female,Smartphone,1 Month
Premium,13,2022-11-17,Spain,46,Female,Smart TV,1 Month
Basic,10,2022-12-15,Italy,47,Female,Laptop,1 Month
Basic,15,2022-12-12,United States,30,Female,Laptop,1 Month
Premium,14,2022-11-23,Canada,33,Female,Tablet,1 Month
Standard,11,2022-12-25,United Kingdom,47,Male,Smartphone,1 Month
Standard,11,2023-03-11,Australia,27,Male,Laptop,1 Month
Basic,14,2022-11-18,Germany,28,Male,Tablet,1 Month
Premium,15,2022-08-19,France,47,Male,Smartphone,1 Month
Standard,14,2022-09-27,Brazil,30,Male,Laptop,1 Month
Basic,13,2022-10-19,Mexico,47,Female,Smartphone,1 Month
Standard,10,2022-12-21,Spain,51,Female,Smart TV,1 Month
Premium,15,2022-10-27,Italy,39,Male,Smartphone,1 Month
Basic,10,2022-10-23,United States,45,Male,Tablet,1 Month
Premium,15,2022-04-19,Canada,31,Male,Laptop,1 Month
Standard,11,2022-04-05,United Kingdom,29,Male,Laptop,1 Month
Basic,11,2022-03-11,Australia,42,Female,Tablet,1 Month
Standard,14,2022-05-25,Germany,49,Male,Tablet,1 Month
Premium,13,2022-04-16,France,42,Male,Laptop,1 Month
Basic,13,2022-04-07,Brazil,29,Male,Smartphone,1 Month
Standard,10,2022-12-11,Mexico,29,Male,Tablet,1 Month
Premium,12,2023-01-20,Spain,49,Male,Tablet,1 Month
Basic,14,2023-01-12,Italy,32,Male,Laptop,1 Month
Premium,11,2022-04-29,United States,35,Female,Tablet,1 Month
Basic,12,2022-04-27,Canada,39,Female,Smartphone,1 Month
Standard,15,2022-06-03,United Kingdom,40,Male,Smartphone,1 Month
Standard,14,2022-04-23,Australia,39,Female,Tablet,1 Month
Basic,10,2022-04-22,Germany,47,Female,Laptop,1 Month
Premium,13,2022-04-12,France,37,Female,Smart TV,1 Month
Basic,15,2022-05-23,Brazil,27,Female,Smartphone,1 Month
Standard,13,2022-10-19,Mexico,49,Female,Laptop,1 Month
Premium,10,2022-12-03,Spain,30,Female,Tablet,1 Month
Basic,14,2022-09-26,Italy,36,Male,Laptop,1 Month
Premium,15,2022-06-16,United States,33,Male,Smartphone,1 Month
Basic,13,2022-05-16,Canada,30,Female,Laptop,1 Month
Standard,15,2022-05-26,United Kingdom,36,Female,Tablet,1 Month
Standard,13,2022-04-26,Australia,28,Female,Laptop,1 Month
Basic,11,2022-05-12,Germany,47,Female,Tablet,1 Month
Premium,12,2022-03-01,France,33,Female,Smart TV,1 Month
Basic,13,2022-07-10,Brazil,49,Female,Laptop,1 Month
Standard,15,2022-07-16,Mexico,44,Female,Smart TV,1 Month
Premium,13,2022-09-02,Spain,47,Male,Smart TV,1 Month
Basic,11,2022-09-18,Italy,37,Female,Tablet,1 Month
Premium,10,2022-07-08,United States,46,Male,Laptop,1 Month
Basic,14,2022-06-26,Canada,50,Female,Smartphone,1 Month
Standard,11,2022-08-05,United Kingdom,50,Male,Laptop,1 Month
Standard,14,2022-08-19,Australia,37,Male,Laptop,1 Month
Basic,11,2022-08-26,Germany,50,Female,Smartphone,1 Month
Premium,13,2022-06-09,France,45,Female,Smart TV,1 Month
Basic,14,2022-09-27,Brazil,45,Male,Tablet,1 Month
Standard,10,2022-10-18,Mexico,49,Female,Laptop,1 Month
Premium,14,2022-10-31,Spain,39,Female,Tablet,1 Month
Basic,11,2022-10-13,Italy,45,Female,Tablet,1 Month
Premium,11,2022-07-04,United States,49,Female,Smart TV,1 Month
Basic,12,2022-06-26,Canada,31,Female,Tablet,1 Month
Standard,13,2022-07-31,United Kingdom,42,Female,Smart TV,1 Month
Standard,12,2022-07-27,Australia,37,Male,Smartphone,1 Month
Basic,12,2022-07-30,Germany,30,Male,Smart TV,1 Month
Premium,11,2022-08-06,France,40,Male,Smartphone,1 Month
Basic,15,2022-09-16,Brazil,45,Female,Smartphone,1 Month
Standard,15,2023-01-05,Mexico,36,Female,Tablet,1 Month
Premium,11,2022-12-10,Spain,41,Male,Laptop,1 Month
Basic,14,2022-11-22,Italy,49,Female,Laptop,1 Month
Premium,15,2022-11-15,United States,40,Male,Tablet,1 Month
Basic,11,2022-10-28,Canada,36,Male,Smart TV,1 Month
Standard,12,2022-09-08,United Kingdom,49,Female,Smart TV,1 Month
Standard,13,2022-06-30,Australia,43,Female,Laptop,1 Month
Basic,13,2022-09-02,Germany,50,Female,Smartphone,1 Month
Premium,14,2022-10-08,France,51,Female,Smart TV,1 Month
Basic,15,2022-11-13,Brazil,44,Male,Smart TV,1 Month
Standard,12,2022-11-15,Mexico,27,Male,Tablet,1 Month
Premium,12,2022-11-16,Spain,46,Female,Smartphone,1 Month
Basic,12,2022-11-26,Italy,29,Male,Tablet,1 Month
Basic,12,2022-11-26,United States,47,Male,Smartphone,1 Month
Basic,10,2022-12-12,Canada,48,Female,Smartphone,1 Month
Standard,12,2023-01-08,United Kingdom,34,Female,Smartphone,1 Month
Premium,15,2022-11-27,Australia,40,Female,Smartphone,1 Month
Basic,14,2022-10-11,Germany,48,Female,Smartphone,1 Month
Basic,10,2022-09-27,France,35,Male,Smartphone,1 Month
Premium,12,2022-09-30,Brazil,51,Female,Smartphone,1 Month
Standard,10,2022-11-04,Mexico,39,Male,Smart TV,1 Month
Standard,13,2022-11-04,Spain,29,Male,Smartphone,1 Month
Basic,12,2022-10-30,Italy,51,Male,Laptop,1 Month
Premium,11,2022-10-29,United States,43,Male,Smartphone,1 Month
Standard,11,2022-08-30,Canada,28,Male,Smartphone,1 Month
Basic,15,2022-07-07,United Kingdom,50,Female,Smart TV,1 Month
Standard,14,2022-05-26,Australia,44,Female,Laptop,1 Month
Premium,11,2022-05-17,Germany,50,Male,Laptop,1 Month
Basic,11,2022-05-08,France,39,Female,Smartphone,1 Month
Premium,13,2022-07-07,Brazil,46,Female,Tablet,1 Month
Standard,15,2022-07-17,Mexico,48,Male,Smartphone,1 Month
Basic,15,2022-12-23,Spain,38,Male,Smart TV,1 Month
Standard,13,2022-06-27,Italy,38,Male,Smartphone,1 Month
Premium,13,2022-05-31,United States,47,Male,Laptop,1 Month
Basic,12,2022-06-02,Canada,37,Male,Laptop,1 Month
Standard,11,2022-05-25,United Kingdom,33,Male,Laptop,1 Month
Premium,15,2022-04-26,Australia,28,Male,Smartphone,1 Month
Basic,13,2022-04-20,Germany,47,Male,Smart TV,1 Month
Premium,11,2022-05-03,France,38,Female,Smartphone,1 Month
Basic,12,2022-07-07,Brazil,27,Male,Smart TV,1 Month
Standard,13,2022-09-15,Mexico,34,Male,Smartphone,1 Month
Standard,14,2022-09-16,Spain,42,Female,Smartphone,1 Month
Basic,14,2022-08-09,Italy,28,Male,Laptop,1 Month
Premium,15,2022-06-25,United States,30,Male,Laptop,1 Month
Basic,11,2022-05-30,Canada,38,Female,Smartphone,1 Month
Standard,15,2022-05-21,United Kingdom,45,Female,Tablet,1 Month
Premium,12,2022-05-20,Australia,48,Female,Smart TV,1 Month
Basic,13,2022-05-20,Germany,46,Female,Smart TV,1 Month
Premium,12,2022-05-30,France,34,Male,Tablet,1 Month
Basic,13,2022-06-17,Brazil,46,Male,Laptop,1 Month
Standard,11,2022-07-16,Mexico,41,Female,Smartphone,1 Month
Standard,15,2022-08-05,Spain,28,Male,Smartphone,1 Month
Basic,10,2022-07-17,Italy,27,Female,Smartphone,1 Month
Premium,13,2022-07-04,United States,27,Female,Smart TV,1 Month
Basic,12,2022-07-13,Canada,28,Female,Tablet,1 Month
Standard,15,2022-07-25,United Kingdom,46,Male,Smartphone,1 Month
Premium,10,2022-08-09,Australia,51,Male,Smartphone,1 Month
Basic,11,2022-08-05,Germany,32,Female,Smart TV,1 Month
Premium,10,2022-08-17,France,44,Male,Tablet,1 Month
Basic,11,2022-09-08,Brazil,44,Female,Laptop,1 Month
Standard,13,2022-10-16,Mexico,34,Female,Smart TV,1 Month
Standard,13,2022-10-15,Spain,29,Female,Laptop,1 Month
Basic,12,2022-09-04,Italy,47,Male,Smart TV,1 Month
Premium,14,2022-08-20,United States,41,Male,Laptop,1 Month
Basic,10,2022-08-10,Canada,36,Female,Smartphone,1 Month
Standard,12,2022-08-02,United Kingdom,28,Female,Laptop,1 Month
Premium,10,2022-08-01,Australia,27,Female,Tablet,1 Month
Basic,15,2022-08-06,Germany,34,Female,Laptop,1 Month
Premium,14,2022-08-09,France,34,Female,Smart TV,1 Month
Basic,13,2022-09-12,Brazil,37,Female,Tablet,1 Month
Standard,14,2022-09-27,Mexico,34,Female,Laptop,1 Month
Standard,15,2022-11-12,Spain,50,Female,Laptop,1 Month
Basic,12,2022-11-13,Italy,34,Female,Laptop,1 Month
Premium,12,2022-11-02,United States,33,Female,Smart TV,1 Month
Basic,11,2022-10-30,Canada,33,Male,Smart TV,1 Month
Standard,15,2022-06-30,United Kingdom,46,Male,Smartphone,1 Month
Premium,14,2022-08-04,Australia,39,Female,Smartphone,1 Month
Basic,10,2022-09-01,Germany,42,Female,Laptop,1 Month
Premium,14,2022-10-14,France,50,Female,Laptop,1 Month
Basic,10,2022-10-16,Brazil,43,Male,Smartphone,1 Month
Standard,14,2022-10-20,Mexico,51,Male,Smart TV,1 Month
Standard,15,2022-11-20,Spain,34,Female,Smart TV,1 Month
Basic,12,2022-11-25,Italy,48,Male,Smartphone,1 Month
Premium,13,2022-12-04,United States,29,Female,Tablet,1 Month
Basic,11,2022-12-12,Canada,43,Female,Laptop,1 Month
Standard,14,2022-12-09,United Kingdom,39,Female,Laptop,1 Month
Premium,10,2022-10-15,Australia,50,Male,Laptop,1 Month
Basic,14,2022-10-03,Germany,45,Male,Laptop,1 Month
Basic,12,2022-10-01,France,48,Female,Tablet,1 Month
Basic,13,2022-11-02,Brazil,40,Male,Smartphone,1 Month
Standard,14,2022-11-03,Mexico,41,Male,Tablet,1 Month
Premium,10,2022-10-30,Spain,27,Male,Smartphone,1 Month
Basic,11,2022-10-30,Italy,36,Male,Laptop,1 Month
Basic,10,2022-09-27,United States,36,Female,Laptop,1 Month
Premium,11,2022-09-14,Canada,44,Male,Tablet,1 Month
Standard,12,2022-06-11,United Kingdom,45,Male,Tablet,1 Month
Standard,12,2022-06-11,Australia,33,Female,Smartphone,1 Month
Basic,13,2022-05-24,Germany,47,Male,Smart TV,1 Month
Premium,13,2022-07-06,France,45,Male,Tablet,1 Month
Standard,11,2022-07-08,Brazil,29,Female,Smart TV,1 Month
Basic,13,2022-10-27,Mexico,31,Male,Smart TV,1 Month
Standard,11,2022-08-09,Spain,31,Male,Smartphone,1 Month
Premium,15,2022-06-14,Italy,49,Female,Smartphone,1 Month
Basic,15,2022-06-07,United States,29,Female,Smartphone,1 Month
Premium,12,2022-05-27,Canada,50,Male,Laptop,1 Month
Standard,13,2022-05-27,United Kingdom,36,Female,Laptop,1 Month
Basic,10,2022-04-21,Australia,28,Male,Laptop,1 Month
Standard,15,2022-04-28,Germany,47,Female,Smart TV,1 Month
Premium,12,2022-05-27,France,50,Female,Laptop,1 Month
Basic,15,2022-08-25,Brazil,44,Female,Tablet,1 Month
Standard,10,2022-09-02,Mexico,39,Female,Laptop,1 Month
Premium,14,2022-08-22,Spain,32,Female,Smartphone,1 Month
Basic,15,2022-08-02,Italy,30,Female,Laptop,1 Month
Premium,12,2022-06-22,United States,33,Female,Smartphone,1 Month
Basic,15,2022-06-04,Canada,44,Male,Smartphone,1 Month
Standard,14,2022-05-31,United Kingdom,40,Male,Smartphone,1 Month
Standard,15,2022-05-22,Australia,32,Male,Tablet,1 Month
Basic,13,2022-05-29,Germany,32,Male,Tablet,1 Month
Premium,11,2022-06-11,France,30,Male,Smartphone,1 Month
Basic,12,2022-07-06,Brazil,32,Female,Smartphone,1 Month
Standard,12,2022-07-26,Mexico,45,Female,Tablet,1 Month
Premium,11,2022-07-22,Spain,35,Female,Smart TV,1 Month
Basic,10,2022-07-06,Italy,40,Female,Smart TV,1 Month
Premium,14,2022-07-08,United States,29,Female,Tablet,1 Month
Basic,14,2022-07-22,Canada,31,Male,Tablet,1 Month
Standard,15,2022-07-24,United Kingdom,43,Female,Smart TV,1 Month
Standard,11,2022-07-28,Australia,34,Male,Smart TV,1 Month
Basic,10,2022-08-11,Germany,47,Female,Tablet,1 Month
Premium,12,2022-09-02,France,35,Male,Laptop,1 Month
Basic,13,2022-10-11,Brazil,36,Male,Laptop,1 Month
Standard,12,2022-10-15,Mexico,33,Male,Tablet,1 Month
Premium,13,2022-10-05,Spain,30,Female,Laptop,1 Month
Basic,14,2022-09-13,Italy,44,Female,Smartphone,1 Month
Premium,13,2022-08-24,United States,44,Female,Laptop,1 Month
Basic,11,2022-08-09,Canada,41,Female,Laptop,1 Month
Standard,13,2022-08-06,United Kingdom,46,Male,Smart TV,1 Month
Standard,13,2022-08-07,Australia,42,Female,Smartphone,1 Month
Basic,10,2022-08-08,Germany,48,Female,Smart TV,1 Month
Premium,15,2022-08-31,France,37,Male,Tablet,1 Month
Basic,14,2022-09-21,Brazil,29,Male,Smartphone,1 Month
Standard,14,2022-10-05,Mexico,30,Male,Smart TV,1 Month
Premium,14,2022-11-02,Spain,28,Male,Smartphone,1 Month
Basic,10,2022-11-02,Italy,44,Female,Smartphone,1 Month
Premium,11,2022-11-02,United States,34,Female,Smart TV,1 Month
Basic,10,2022-09-20,Canada,38,Male,Laptop,1 Month
Standard,14,2022-08-10,United Kingdom,34,Female,Smartphone,1 Month
Standard,10,2022-08-16,Australia,40,Female,Laptop,1 Month
Basic,15,2022-10-12,Germany,32,Female,Tablet,1 Month
Premium,11,2022-10-14,France,38,Male,Smart TV,1 Month
Basic,15,2022-10-18,Brazil,39,Male,Smartphone,1 Month
Standard,12,2022-11-11,Mexico,34,Female,Smart TV,1 Month
Premium,11,2022-11-20,Spain,41,Male,Smartphone,1 Month
Basic,15,2022-11-21,Italy,43,Female,Tablet,1 Month
Premium,12,2022-11-25,United States,36,Female,Laptop,1 Month
Basic,11,2022-12-08,Canada,31,Male,Laptop,1 Month
Standard,12,2022-11-01,United Kingdom,47,Female,Smart TV,1 Month
Standard,14,2022-10-12,Australia,48,Male,Smart TV,1 Month
Basic,11,2022-10-13,Germany,36,Male,Laptop,1 Month
Premium,12,2022-10-17,France,41,Male,Smart TV,1 Month
Basic,13,2022-10-23,Brazil,32,Male,Laptop,1 Month
Standard,13,2022-10-24,Mexico,28,Male,Smartphone,1 Month
Premium,12,2022-10-25,Spain,46,Female,Smartphone,1 Month
Basic,11,2022-10-22,Italy,46,Female,Smartphone,1 Month
Basic,11,2022-09-30,United States,47,Male,Tablet,1 Month
Basic,11,2022-09-06,Canada,31,Female,Tablet,1 Month
Standard,10,2022-06-18,United Kingdom,44,Female,Tablet,1 Month
Premium,10,2022-06-12,Australia,39,Female,Laptop,1 Month
Basic,14,2022-06-17,Germany,44,Female,Laptop,1 Month
Basic,12,2022-06-20,France,39,Female,Smartphone,1 Month
Premium,12,2022-08-27,Brazil,37,Male,Laptop,1 Month
Standard,14,2022-08-13,Mexico,47,Female,Laptop,1 Month
Standard,10,2022-08-12,Spain,46,Female,Smart TV,1 Month
Basic,15,2022-08-05,Italy,27,Female,Smart TV,1 Month
Premium,10,2022-07-14,United States,43,Female,Laptop,1 Month
Standard,10,2022-06-07,Canada,51,Male,Smart TV,1 Month
Basic,10,2022-06-01,United Kingdom,49,Male,Smart TV,1 Month
Standard,10,2022-05-19,Australia,35,Female,Smartphone,1 Month
Premium,15,2022-05-22,Germany,44,Male,Smartphone,1 Month
Basic,14,2022-07-11,France,48,Male,Tablet,1 Month
Premium,11,2022-07-19,Brazil,39,Female,Tablet,1 Month
Standard,12,2022-07-21,Mexico,38,Male,Laptop,1 Month
Basic,14,2022-08-02,Spain,45,Male,Smart TV,1 Month
Standard,13,2022-07-03,Italy,43,Female,Laptop,1 Month
Premium,13,2022-06-23,United States,42,Male,Laptop,1 Month
Basic,15,2022-06-03,Canada,28,Male,Smart TV,1 Month
Standard,10,2022-06-03,United Kingdom,40,Male,Tablet,1 Month
Premium,14,2022-05-30,Australia,41,Female,Tablet,1 Month
Basic,12,2022-06-05,Germany,45,Female,Laptop,1 Month
Premium,14,2022-06-10,France,30,Female,Smartphone,1 Month
Basic,11,2022-07-14,Brazil,31,Female,Smartphone,1 Month
Standard,13,2022-07-15,Mexico,51,Female,Tablet,1 Month
Standard,12,2022-07-14,Spain,44,Female,Smartphone,1 Month
Basic,14,2022-07-13,Italy,49,Male,Laptop,1 Month
Premium,12,2022-07-17,United States,47,Female,Laptop,1 Month
Basic,14,2022-07-21,Canada,42,Male,Smartphone,1 Month
Standard,13,2022-07-23,United Kingdom,28,Male,Smartphone,1 Month
Premium,13,2022-08-01,Australia,28,Male,Smartphone,1 Month
Basic,13,2022-08-06,Germany,49,Female,Tablet,1 Month
Premium,12,2022-08-19,France,32,Female,Smartphone,1 Month
Basic,12,2022-08-26,Brazil,37,Female,Tablet,1 Month
Standard,13,2022-09-27,Mexico,37,Female,Tablet,1 Month
Standard,14,2022-09-15,Spain,37,Male,Smartphone,1 Month
Basic,15,2022-09-02,Italy,37,Male,Smart TV,1 Month
Premium,14,2022-09-03,United States,48,Female,Tablet,1 Month
Basic,12,2022-09-03,Canada,47,Male,Laptop,1 Month
Standard,13,2022-08-24,United Kingdom,41,Female,Smartphone,1 Month
Premium,14,2022-08-21,Australia,47,Female,Laptop,1 Month
Basic,13,2022-08-23,Germany,39,Female,Smartphone,1 Month
Premium,10,2022-09-02,France,28,Male,Tablet,1 Month
Basic,14,2022-09-21,Brazil,31,Male,Smart TV,1 Month
Standard,14,2022-10-21,Mexico,47,Female,Smart TV,1 Month
Standard,11,2022-10-30,Spain,27,Female,Laptop,1 Month
Basic,10,2022-11-02,Italy,28,Male,Laptop,1 Month
Premium,14,2022-10-16,United States,33,Male,Tablet,1 Month
Basic,14,2022-09-15,Canada,29,Female,Tablet,1 Month
Standard,15,2022-09-12,United Kingdom,41,Male,Smartphone,1 Month
Premium,12,2022-09-18,Australia,28,Female,Tablet,1 Month
Basic,13,2022-10-04,Germany,38,Male,Tablet,1 Month
